#,Company name,Symbol,Price (USD),Market cap (In millions),Sector,Industry,Market,Provided by GlobeFunder.com
1,Agilent Technologies,A,$152.07,"$46,035.03",Health Technology,Medical Specialties,NYSE,
2,Alcoa,AA,$47.95,"$8,971.59",Non-Energy Minerals,Aluminum,NYSE,
3,American Airlines,AAL,$17.75,"$11,493.38",Transportation,Airlines,NASDAQ,
4,Advance Auto Parts,AAP,$226.73,"$14,137.79",Retail Trade,Specialty Stores,NYSE,
5,Apple,AAPL,$156.81,"$2,572,685.98",Electronic Technology,Telecommunications Equipment,NASDAQ,
6,AbbVie,ABBV,$116.51,"$205,975.70",Health Technology,Pharmaceuticals: Major,NYSE,
7,Ambev,ABEV,$2.95,"$262,724.81",Consumer Non-Durables,Beverages: Alcoholic,NYSE,
8,Airbnb Inc,ABNB,$173.86,"$108,869.17",Technology Services,Internet Software/Services,NASDAQ,
9,Abbott Labs,ABT,$125.88,"$222,591.96",Health Technology,Medical Specialties,NYSE,
10,ACE Convergence Acquisition Corp,ACEV,$9.96,$286.35,Finance,Financial Conglomerates,NASDAQ,
11,Archer Aviation,ACHR,$6.15,"$1,459.58",Finance,Financial Conglomerates,NYSE,
12,Accenture Plc,ACN,$353.60,"$232,223.09",Technology Services,Information Technology Services,NYSE,
13,Adobe,ADBE,$662.10,"$315,027.17",Technology Services,Packaged Software,NASDAQ,
14,Analog Devices,ADI,$178.00,"$95,480.91",Electronic Technology,Semiconductors,NASDAQ,
15,Archer-Daniels-Midland,ADM,$64.40,"$36,028.01",Process Industries,Agricultural Commodities/Milling,NYSE,
16,Automatic Data Processing,ADP,$229.62,"$96,758.19",Technology Services,Data Processing Services,NASDAQ,
17,Autodesk,ADSK,$254.17,"$55,879.38",Technology Services,Packaged Software,NASDAQ,
18,American Eagle Outfitters,AEO,$26.81,"$4,520.75",Retail Trade,Apparel/Footwear Retail,NYSE,
19,American Electric Power,AEP,$82.55,"$41,576.44",Utilities,Electric Utilities,NASDAQ,
20,The AES Corporation,AES,$23.83,"$15,887.79",Utilities,Electric Utilities,NYSE,
21,Aflac,AFL,$55.57,"$36,761.12",Finance,Life/Health Insurance,NYSE,
22,Affirm Holdings,AFRM,$136.98,"$38,492.12",Technology Services,Internet Software/Services,NASDAQ,
23,First Majestic Silver Corp,AG,$11.91,"$3,877.03",Non-Energy Minerals,Precious Metals,NYSE,
24,Agilon Health,AGL,$21.59,"$8,499.02",Health Services,Medical/Nursing Services,NYSE,
25,AGNC Investment,AGNC,$15.91,"$8,351.29",Finance,Real Estate Investment Trusts,NASDAQ,
26,C3.ai Inc,AI,$38.38,"$3,995.68",Technology Services,Packaged Software,NYSE,
27,AIG,AIG,$56.05,"$46,538.18",Finance,Multi-Line Insurance,NYSE,
28,Akamai Technologies,AKAM,$111.94,"$18,188.00",Technology Services,Internet Software/Services,NASDAQ,
29,Air Lease Corporation,AL,$41.11,"$4,686.01",Finance,Finance/Rental/Leasing,NYSE,
30,Albemarle Corporation,ALB,$266.85,"$31,215.13",Process Industries,Chemicals: Specialty,NYSE,
31,Align Technology,ALGN,$634.22,"$50,010.19",Health Technology,Medical Specialties,NASDAQ,
32,Alight,ALIT,$10.39,"$4,642.28",Technology Services,Information Technology Services,NYSE,
33,Allstate,ALL,$115.12,"$33,002.14",Finance,Property/Casualty Insurance,NYSE,
34,Allot Communications,ALLT,$11.47,$417.57,Electronic Technology,Computer Communications,NASDAQ,
35,Ally Financial,ALLY,$48.38,"$16,760.96",Finance,Regional Banks,NYSE,
36,Antero Midstream Partners LP,AM,$10.25,"$4,894.41",Industrial Services,Oil & Gas Pipelines,NYSE,
37,Applied Materials,AMAT,$143.29,"$129,380.63",Producer Manufacturing,Industrial Machinery,NASDAQ,
38,AMC,AMC,$37.63,"$19,340.35",Consumer Services,Movies/Entertainment,NYSE,
39,Advanced Micro Devices,AMD,$154.81,"$186,950.10",Electronic Technology,Semiconductors,NASDAQ,
40,Ametek,AME,$139.09,"$32,175.02",Producer Manufacturing,Electrical Products,NYSE,
41,Amgen,AMGN,$201.09,"$113,267.08",Health Technology,Biotechnology,NASDAQ,
42,American Homes 4 Rent,AMH,$40.48,"$13,536.33",Finance,Real Estate Investment Trusts,NYSE,
43,Ameresco,AMRC,$89.70,"$4,624.88",Industrial Services,Engineering & Construction,NYSE,
44,Amneal Pharmaceuticals,AMRX,$4.25,"$1,281.33",Health Technology,Pharmaceuticals: Major,NYSE,
45,American Tower,AMT,$262.87,"$119,714.54",Finance,Real Estate Investment Trusts,NYSE,
46,Amazon,AMZN,"$3,504.56","$1,777,328.87",Retail Trade,Internet Retail,NASDAQ,
47,Arista Networks,ANET,$124.97,"$38,401.23",Electronic Technology,Computer Communications,NYSE,
48,Abercrombie & Fitch,ANF,$38.05,"$2,248.09",Retail Trade,Apparel/Footwear Retail,NYSE,
49,ANGI Homeservices,ANGI,$9.63,"$4,838.04",Technology Services,Internet Software/Services,NASDAQ,
50,Ansys,ANSS,$382.48,"$33,372.51",Technology Services,Packaged Software,NASDAQ,
51,Anthem,ANTM,$415.52,"$100,852.81",Health Services,Managed Health Care,NYSE,
52,AO Smith,AOS,$81.00,"$12,892.13",Producer Manufacturing,Building Products,NYSE,
53,Apache,APA,$26.24,"$9,532.32",Energy Minerals,Oil & Gas Production,NASDAQ,
54,Air Products and Chemicals,APD,$293.64,"$65,029.61",Process Industries,Chemicals: Specialty,NYSE,
55,Amphenol,APH,$81.62,"$48,811.02",Electronic Technology,Electronic Components,NYSE,
56,AppLovin Corp,APP,$90.71,"$33,945.58",Technology Services,Packaged Software,NASDAQ,
57,Appian Corporation,APPN,$74.31,"$5,289.62",Technology Services,Packaged Software,NASDAQ,
58,Digital Turbine,APPS,$54.87,"$5,301.85",Technology Services,Internet Software/Services,NASDAQ,
59,Apollo Strategic Growth Capital,APSG,$9.87,"$1,007.74",Finance,Finance/Rental/Leasing,NYSE,
60,Antero Resources Corporation,AR,$18.39,"$5,773.17",Energy Minerals,Oil & Gas Production,NYSE,
61,Ares Capital,ARCC,$20.35,"$9,376.34",Finance,Investment Managers,NASDAQ,
62,Arcturus Therapeutics Holdings Inc,ARCT,$39.89,"$1,051.52",Health Technology,Pharmaceuticals: Major,NASDAQ,
63,Apollo Commercial Real Estate Finance,ARI,$14.01,"$1,959.91",Finance,Real Estate Investment Trusts,NYSE,
64,Aramark,ARMK,$34.99,"$8,958.90",Consumer Services,Restaurants,NYSE,
65,Arconic,ARNC,$27.97,"$2,978.45",Non-Energy Minerals,Aluminum,NYSE,
66,ARMOUR Residential,ARR,$9.96,$893.30,Finance,Real Estate Investment Trusts,NYSE,
67,Arrival Group,ARVL,$9.62,"$6,393.69",Consumer Durables,Motor Vehicles,NASDAQ,
68,Asana Inc,ASAN,$106.02,"$19,497.17",Technology Services,Packaged Software,NYSE,
69,ASML Holding,ASML,$782.02,"$284,518.69",Producer Manufacturing,Industrial Machinery,NASDAQ,
70,Autohome,ATHM,$35.03,"$4,454.73",Technology Services,Internet Software/Services,NYSE,
71,ATI Physical Therapy,ATIP,$3.36,$662.77,Finance,Financial Conglomerates,NYSE,
72,AptarGroup,ATR,$126.61,"$8,334.37",Process Industries,Containers/Packaging,NYSE,
73,Altice USA,ATUS,$16.02,"$7,283.55",Consumer Services,Cable/Satellite TV,NYSE,
74,Altimeter Growth Corporation,ATUS,$16.02,"$7,283.55",Consumer Services,Cable/Satellite TV,NYSE,
75,Activision Blizzard,ATVI,$60.62,"$47,216.23",Consumer Durables,Recreational Products,NASDAQ,
76,AngloGold Ashanti,AU,$19.85,"$8,227.75",Non-Energy Minerals,Precious Metals,NYSE,
77,Yamana Gold,AUY,$4.07,"$4,870.75",Non-Energy Minerals,Precious Metals,NYSE,
78,AvalonBay Communities,AVB,$239.39,"$33,429.95",Finance,Real Estate Investment Trusts,NYSE,
79,Broadcom,AVGO,$546.59,"$224,985.36",Electronic Technology,Semiconductors,NASDAQ,
80,Avalara,AVLR,$142.14,"$12,354.22",Technology Services,Packaged Software,NYSE,
81,AvePoint,AVPT,$7.09,"$1,286.27",Technology Services,Data Processing Services,NASDAQ,
82,American Axle & Manufacturing,AXL,$9.36,"$1,067.61",Producer Manufacturing,Auto Parts: OEM,NYSE,
83,Axon Enterprise Inc,AXON,$177.20,"$12,314.58",Electronic Technology,Aerospace & Defense,NASDAQ,
84,American Express,AXP,$156.82,"$124,583.04",Finance,Finance/Rental/Leasing,NYSE,
85,Axalta Coating Systems,AXTA,$31.33,"$7,210.94",Process Industries,Industrial Specialties,NYSE,
86,Atlantica Sustainable Infrastructure,AY,$38.75,"$4,294.78",Utilities,Alternative Power Generation,NASDAQ,
87,Alteryx,AYX,$64.09,"$4,323.12",Technology Services,Packaged Software,NYSE,
88,AstraZeneca PLC,AZN,$56.58,"$176,373.33",Health Technology,Pharmaceuticals: Major,NASDAQ,
89,AutoZone,AZO,"$1,814.18","$38,039.65",Retail Trade,Specialty Stores,NYSE,
90,Boeing,BA,$199.21,"$117,075.60",Electronic Technology,Aerospace & Defense,NYSE,
91,Alibaba,BABA,$133.35,"$362,792.69",Retail Trade,Internet Retail,NYSE,
92,Bank of America,BAC,$45.76,"$374,503.62",Finance,Major Banks,NYSE,
93,Booz Allen Hamilton,BAH,$85.20,"$11,407.99",Commercial Services,Miscellaneous Commercial Services,NYSE,
94,Brookfield Asset Management Inc.,BAM,$57.55,"$114,726.95",Finance,Investment Managers,NYSE,
95,Brookfield Asset Management Reinsurance Partners,BAMR,$58.93,$816.83,Finance,Financial Conglomerates,NYSE,
96,Credicorp,BAP,$116.78,"$10,999.50",Finance,Regional Banks,NYSE,
97,The Original BARK Company,BARK,$5.56,$955.83,Finance,Financial Conglomerates,NYSE,
98,Baxter,BAX,$76.29,"$38,197.89",Health Technology,Medical Specialties,NYSE,
99,BlackBerry,BB,$9.97,"$7,128.52",Technology Services,Packaged Software,NYSE,
100,BBVA Banco Francés,BBAR,$2.88,"$130,802.80",Finance,Regional Banks,NYSE,
101,Banco Bradesco S.A. - Preferred Shares,BBD,$3.65,"$184,014.91",Finance,Major Banks,NYSE,
102,Bath&Body Works,BBWI,$74.61,"$19,724.86",Retail Trade,Apparel/Footwear Retail,NYSE,
103,Best Buy,BBY,$114.77,"$28,229.30",Retail Trade,Electronics/Appliance Stores,NYSE,
104,Barclays PLC,BCS,$9.98,"$41,453.03",Finance,Major Banks,NYSE,
105,Belden,BDC,$63.40,"$2,846.56",Producer Manufacturing,Electrical Products,NYSE,
106,Becton Dickinson,BDX,$245.09,"$69,611.34",Health Technology,Medical Specialties,NYSE,
107,Bloom Energy,BE,$27.28,"$4,786.69",Producer Manufacturing,Electrical Products,NYSE,
108,Franklin Resources,BEN,$33.14,"$16,629.49",Finance,Investment Managers,NYSE,
109,Brookfield Renewable Partners,BEP,$35.86,"$12,665.39",Utilities,Electric Utilities,NYSE,
110,Brookfield Renewable Corporation,BEPC,$36.68,"$13,271.07",Utilities,Electric Utilities,NYSE,
111,Brown Forman,BF.B,$74.40,"$34,748.04",Consumer Non-Durables,Beverages: Alcoholic,NYSE,
112,Bunge,BG,$90.48,"$12,714.27",Process Industries,Agricultural Commodities/Milling,NYSE,
113,Bausch Health Companies,BHC,$25.25,"$11,410.48",Health Technology,Pharmaceuticals: Other,NYSE,
114,BHP Billiton,BHP,$54.43,"$193,084.60",Non-Energy Minerals,Other Metals/Minerals,NYSE,
115,Baidu,BIDU,$153.06,"$53,321.40",Technology Services,Internet Software/Services,NASDAQ,
116,Biogen,BIIB,$242.90,"$35,680.21",Health Technology,Biotechnology,NASDAQ,
117,Bilibili,BILI,$68.79,"$26,458.55",Technology Services,Internet Software/Services,NASDAQ,
118,Bio-Rad Laboratories,BIO,$750.17,"$22,614.96",Health Technology,Medical Specialties,NYSE,
119,Brookfield Infrastructure Partners,BIP,$56.36,"$24,003.95",Utilities,Alternative Power Generation,NYSE,
120,Brookfield Infrastructure Corp,BIPC,$59.49,"$4,235.53",Utilities,Gas Distributors,NYSE,
121,BJ's Wholesale Club Holdings,BJ,$66.34,"$9,642.44",Retail Trade,Specialty Stores,NYSE,
122,BNY Mellon,BK,$56.75,"$46,865.35",Finance,Major Banks,NYSE,
123,Bakkt,BKKT,$15.61,$404.63,Commercial Services,Miscellaneous Commercial Services,NYSE,
124,Booking,BKNG,"$2,155.56","$88,514.80",Consumer Services,Other Consumer Services,NASDAQ,
125,Baker Hughes,BKR,$23.06,"$25,145.44",Industrial Services,Oilfield Services/Equipment,NYSE,
126,Ballard Power Systems,BLDP,$15.33,"$5,759.82",Producer Manufacturing,Electrical Products,NASDAQ,
127,BlackRock,BLK,$901.64,"$136,974.63",Finance,Investment Managers,NYSE,
128,Ball Corporation,BLL,$94.70,"$30,672.77",Process Industries,Containers/Packaging,NYSE,
129,Blink Charging,BLNK,$38.18,"$1,611.20",Consumer Services,Other Consumer Services,NASDAQ,
130,Banco Macro,BMA,$13.57,"$184,790.50",Finance,Regional Banks,NYSE,
131,Bumble Inc.,BMBL,$33.83,"$4,372.24",Technology Services,Packaged Software,NASDAQ,
132,Biomarin Pharmaceutical,BMRN,$87.58,"$16,079.10",Health Technology,Biotechnology,NASDAQ,
133,Bristol-Myers Squibb,BMY,$56.53,"$125,476.47",Health Technology,Pharmaceuticals: Major,NYSE,
134,BioNTech SE,BNTX,$348.00,"$84,463.98",Health Technology,Biotechnology,NASDAQ,
135,Box,BOX,$23.86,"$3,615.90",Technology Services,Information Technology Services,NYSE,
136,BP plc,BP,$25.96,"$85,371.12",Energy Minerals,Integrated Oil,NYSE,
137,BRF,BRFS,$3.68,"$16,696.32",Consumer Non-Durables,Food: Meat/Fish/Dairy,NYSE,
138,Berkshire Hathaway,BRK.B,$283.09,"$634,939.31",Finance,Multi-Line Insurance,NYSE,
139,Brixmor Property Group,BRX,$23.77,"$7,059.41",Finance,Real Estate Investment Trusts,NYSE,
140,Banco Santander (Brasil),BSBR,$6.03,"$128,987.16",Finance,Regional Banks,NYSE,
141,Grupo Financiero Santander Mexico,BSMX,$6.03,"$179,108.82",Finance,Regional Banks,NYSE,
142,Boston Scientific,BSX,$38.57,"$54,961.94",Health Technology,Medical Specialties,NYSE,
143,Burgundy Technology Acquisition Corp,BTAQ,$9.99,$441.43,Finance,Financial Conglomerates,NASDAQ,
144,B2Gold Corporation,BTG,$4.04,"$5,365.29",Non-Energy Minerals,Precious Metals,NYSE AMERICAN,
145,BTWN,BTWN,$9.87,$733.70,Finance,Financial Conglomerates,NASDAQ,
146,Anheuser Busch Inbev NV,BUD,$58.25,"$88,563.98",Consumer Non-Durables,Beverages: Alcoholic,NYSE,
147,Compañía de Minas Buenaventura,BVN,$6.94,"$1,773.49",Non-Energy Minerals,Precious Metals,NYSE,
148,BorgWarner,BWA,$45.23,"$10,844.85",Producer Manufacturing,Auto Parts: OEM,NYSE,
149,Blackstone,BX,$143.81,"$172,310.55",Finance,Investment Managers,NYSE,
150,Beyond Meat,BYND,$76.72,"$4,858.74",Consumer Non-Durables,Food: Major Diversified,NASDAQ,
151,Baozun Inc,BZUN,$15.15,"$1,183.12",Retail Trade,Internet Retail,NASDAQ,
152,Citigroup,C,$65.50,"$129,969.49",Finance,Financial Conglomerates,NYSE,
153,Cable One,CABO,"$1,843.71","$11,146.10",Consumer Services,Cable/Satellite TV,NYSE,
154,ConAgra Foods,CAG,$31.60,"$15,158.20",Consumer Non-Durables,Food: Major Diversified,NYSE,
155,Cardinal Health,CAH,$47.60,"$13,413.11",Distribution Services,Medical Distributors,NYSE,
156,Canon,CAJ,$22.46,"$30,127.39",Electronic Technology,Electronic Equipment/Instruments,NYSE,
157,Cano Health,CANO,$9.48,"$4,550.27",Finance,Financial Conglomerates,NYSE,
158,Carrier Global Corp,CARR,$55.38,"$47,991.47",Producer Manufacturing,Industrial Machinery,NYSE,
159,Cars.com,CARS,$16.12,"$1,113.92",Technology Services,Internet Software/Services,NYSE,
160,Caterpillar,CAT,$198.73,"$107,501.34",Producer Manufacturing,Trucks/Construction/Farm Machinery,NYSE,
161,CBL & Associates Properties,CBL,$30.47,$609.05,Finance,Real Estate Investment Trusts,NYSE,
162,CBOE Holdings,CBOE,$128.88,"$13,744.14",Finance,Investment Banks/Brokers,NYSE AMERICAN,
163,CBRE Group,CBRE,$98.09,"$32,827.37",Finance,Real Estate Development,NYSE,
164,"Chemours Company, The",CC,$30.85,"$5,027.34",Process Industries,Industrial Specialties,NYSE,
165,CCC Intelligent Solutions,CCCS,$12.45,"$7,516.03",Finance,Financial Conglomerates,NYSE,
166,Crown Castle,CCI,$183.50,"$79,309.29",Finance,Real Estate Investment Trusts,NYSE,
167,Carnival,CCL,$17.95,"$20,155.21",Consumer Services,Hotels/Resorts/Cruise lines,NYSE,
168,Coeur Mining,CDE,$5.73,"$1,472.35",Non-Energy Minerals,Precious Metals,NYSE,
169,Cadence Design Systems,CDNS,$178.36,"$49,366.48",Technology Services,Packaged Software,NASDAQ,
170,Cerner,CERN,$72.30,"$21,272.30",Technology Services,Information Technology Services,NASDAQ,
171,CF Industries Holdings,CF,$62.80,"$13,469.05",Process Industries,Chemicals: Agricultural,NYSE,
172,Citizens Financial Group,CFG,$48.56,"$20,696.25",Finance,Regional Banks,NYSE,
173,Carlyle Group,CG,$54.75,"$19,519.89",Finance,Investment Managers,NASDAQ,
174,Canopy Growth Corporation,CGC,$11.69,"$5,829.95",Process Industries,Agricultural Commodities/Milling,NASDAQ,
175,Cognex Corporation,CGNX,$76.19,"$13,470.32",Electronic Technology,Electronic Equipment/Instruments,NASDAQ,
176,Chegg,CHGG,$24.99,"$3,622.24",Commercial Services,Miscellaneous Commercial Services,NYSE,
177,Check Point Software Technologies,CHKP,$110.32,"$14,650.30",Technology Services,Internet Software/Services,NASDAQ,
178,China Mobile,CHL,$27.67,-,Communications,Telecommunications Equipment,NYSE,No live pricing
179,ChargePoint Holdings,CHPT,$25.82,"$8,329.59",Retail Trade,Specialty Stores,NYSE,
180,Chico's FAS,CHS,$5.69,$696.83,Retail Trade,Apparel/Footwear Retail,NYSE,
181,Charter Communications,CHTR,$672.87,"$120,639.53",Consumer Services,Cable/Satellite TV,NASDAQ,
182,Chewy,CHWY,$69.39,"$28,988.60",Retail Trade,Internet Retail,NYSE,
183,Cigna,CI,$202.03,"$66,958.34",Health Services,Managed Health Care,NYSE,
184,Ciena Corporation,CIEN,$60.74,"$9,410.40",Electronic Technology,Telecommunications Equipment,NYSE,
185,Companhia Energética de Minas Gerais,CIG,$2.35,"$24,934.00",Utilities,Electric Utilities,NYSE,
186,Chimera Investment,CIM,$16.43,"$3,892.02",Finance,Real Estate Investment Trusts,NYSE,
187,Colgate-Palmolive,CL,$77.06,"$64,949.91",Consumer Non-Durables,Household/Personal Care,NYSE,
188,Cellebrite,CLBT,$8.68,"$1,624.62",Finance,Financial Conglomerates,NASDAQ,
189,Cleveland-Cliffs Inc.,CLF,$21.84,"$10,921.97",Non-Energy Minerals,Steel,NYSE,
190,Clean Energy Fuels,CLNE,$7.20,"$1,606.24",Utilities,Gas Distributors,NASDAQ,
191,Continental Resources,CLR,$45.45,"$16,615.65",Energy Minerals,Oil & Gas Production,NYSE,
192,Clovis Oncology,CLVS,$3.20,$415.93,Health Technology,Biotechnology,NASDAQ,
193,The Clorox Company,CLX,$174.21,"$21,403.91",Consumer Non-Durables,Household/Personal Care,NYSE,
194,Comerica,CMA,$85.26,"$11,181.74",Finance,Major Banks,NYSE,
195,Comcast,CMCSA,$51.10,"$233,471.91",Consumer Services,Cable/Satellite TV,NASDAQ,
196,CME Group (Class A),CME,$222.16,"$79,843.44",Finance,Investment Banks/Brokers,NASDAQ,
197,Chipotle Mexican Grill,CMG,"$1,686.88","$47,461.04",Consumer Services,Restaurants,NYSE,
198,Centene,CNC,$73.90,"$43,120.87",Health Services,Managed Health Care,NYSE,
199,Conduent,CNDT,$5.14,"$1,093.76",Commercial Services,Miscellaneous Commercial Services,NASDAQ,
200,CenterPoint Energy,CNP,$26.23,"$16,495.15",Utilities,Electric Utilities,NYSE,
201,CNX Resources,CNX,$14.20,"$2,999.04",Energy Minerals,Integrated Oil,NYSE,
202,The Vita Coco Company,COCO,$15.22,-,Consumer Non-Durables,Food: Major Diversified,NASDAQ,
203,Capital One,COF,$149.16,"$63,485.78",Finance,Major Banks,NYSE,
204,Coinbase,COIN,$303.19,"$65,247.88",Technology Services,Packaged Software,NASDAQ,
205,Americold Realty Trust,COLD,$31.60,"$8,646.00",Finance,Real Estate Investment Trusts,NYSE,
206,CommScope Holding Company,COMM,$10.55,"$2,157.46",Electronic Technology,Telecommunications Equipment,NASDAQ,
207,Compass,COMP,$9.50,"$3,864.38",Technology Services,Packaged Software,NYSE,
208,Conx Corp,CONX,$9.85,$923.26,Finance,Financial Conglomerates,NASDAQ,
209,ConocoPhillips,COP,$71.48,"$94,278.26",Energy Minerals,Oil & Gas Production,NYSE,
210,Costco Wholesale,COST,$546.13,"$241,293.23",Retail Trade,Specialty Stores,NASDAQ,
211,Coty,COTY,$9.64,"$7,890.11",Consumer Non-Durables,Household/Personal Care,NYSE,
212,Coursera,COUR,$28.96,"$4,071.48",Technology Services,Internet Software/Services,NYSE,
213,Coupang,CPNG,$27.39,"$47,971.97",Retail Trade,Internet Retail,NYSE,
214,Cohn Robbins Holdings Corp,CRHC,$9.97,"$1,031.90",Finance,Financial Conglomerates,NYSE,
215,Salesforce,CRM,$284.21,"$278,241.52",Technology Services,Packaged Software,NYSE,
216,Crocs,CROX,$168.04,"$9,888.71",Consumer Non-Durables,Apparel/Footwear,NASDAQ,
217,CRISPR Therapeutics AG,CRSP,$78.79,"$6,029.56",Health Technology,Biotechnology,NASDAQ,
218,Corsair Gaming,CRSR,$23.01,"$2,170.86",Technology Services,Packaged Software,NASDAQ,
219,CrowdStrike,CRWD,$232.64,"$53,086.70",Technology Services,Packaged Software,NASDAQ,
220,Cisco,CSCO,$54.67,"$230,576.57",Technology Services,Information Technology Services,NASDAQ,
221,CoStar Group,CSGP,$77.59,"$30,643.06",Technology Services,Internet Software/Services,NASDAQ,
222,Canadian Solar,CSIQ,$38.28,"$2,296.71",Producer Manufacturing,Electrical Products,NASDAQ,
223,CSX,CSX,$35.57,"$78,893.65",Transportation,Railroads,NASDAQ,
224,Cintas,CTAS,$428.29,"$44,288.44",Consumer Services,Other Consumer Services,NASDAQ,
225,Coterra Energy,CTRA,$21.00,$382.50,Energy Minerals,Integrated Oil,NYSE,
226,Cognizant Technology Solutions,CTSH,$78.40,"$41,179.73",Technology Services,Information Technology Services,NASDAQ,
227,Corteva,CTVA,$46.83,-,Process Industries,Chemicals: Agricultural,NYSE,
228,Citrix Systems,CTXS,$82.90,"$10,339.53",Technology Services,Packaged Software,NASDAQ,
229,CuriosityStream,CURI,$7.37,$387.81,Consumer Services,Movies/Entertainment,NASDAQ,
230,Covanta Holding Corp,CVA,$20.24,"$2,692.10",Industrial Services,Environmental Services,NYSE,
231,Cenovus Energy Inc,CVE,$12.39,"$31,451.17",Energy Minerals,Oil & Gas Production,NYSE,
232,Carvana Co.,CVNA,$291.11,"$50,240.63",Retail Trade,Specialty Stores,NYSE,
233,CVS Health,CVS,$91.52,"$120,811.70",Retail Trade,Drugstore Chains,NYSE,
234,Chevron,CVX,$114.51,"$220,739.21",Energy Minerals,Integrated Oil,NYSE,
235,Clearway Energy,CWEN,$37.86,"$7,441.18",Utilities,Alternative Power Generation,NYSE,
236,"CEMEX, S.A.B. de C.V.",CX,$5.85,"$193,344.58",Non-Energy Minerals,Construction Materials,NYSE,
